Keywords related to TRIZ and creativity
bài toán
định hướng
giải quyết
phương pháp
thử và sai
qui luật
qui luật phát triển
quy luật
quy luật phát triển
sáng tạo
sức ì
tính ì
tính ì hệ thống
tính ỳ
tính ỳ tâm lý
tư duy
vấn đề
thủ thuật
nguyên tắc

Keywords related to psychology / cognitive / emotions
cần thiết
tâm lý
tích cực
tự tin

Keywords related to results
phát triển
thay đổi

Keywords related to actions
định hướng : Người học biết cách định hướng để giải quyết vấn đề của mình
áp dụng : Người học đã/sẽ áp dụng PPLST vào cuộc sống/công việc của mình
vận dụng : Người học sẽ vận dụng PPLST vào công việc của mình
hành động : Người học sẽ dùng PPLST để hỗ trợ hành động/hoạt động của mình
giới thiệu : Người học sẽ giới thiệu về khóa học PPLST với người khác
truyền đạt : Người học sẽ truyền đạt lại về PPLST cho người khác
dạy : Người học sẽ dạy lại người khác về PPLST
hướng dẫn : Người học sẽ hướng dẫn người khác về PPLST
