Meaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords in English,,,Method of Focal Objects,Morphological Analysis Method,Check-listing Method,Brainstorming,(method of using analogies),Methods of activating creativitive thinking,combine non-TRIZ,,(11) separation principles,(40) basic creativity principles,,,,,,,,,,,,,,,,,,,,combine TRIZ
data_individual/data_hssv/hs0033.txt,"209
",,,,,,,,,,,1,,,,1,1,,1,1,,1,,,,,,,1,,,1
data_individual/data_hssv/hs0026.txt,"192
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0022.txt,"128
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0029.txt,"194
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0043.txt,"263
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0012.txt,"60
",,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,1
data_individual/data_hssv/hs0019.txt,"125
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0023.txt,"131
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0034.txt,"210
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0052.txt,"456
",,,,,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,1
data_individual/data_hssv/hs0011.txt,"45
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0037.txt,"168
",,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0033.txt,"168
",,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0014.txt,"145
",,,,,1,,,1,,,1,1,,,1,,,1,1,,,,1,,,,,,,,1
data_individual/data_giaoduc/gd0019.txt,"145
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0064.txt,"457
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0028.txt,"145
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0041.txt,"168
",,,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,,,,1
data_individual/data_giaoduc/gd0048.txt,"168
",,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,1
data_individual/data_giaoduc/gd0043.txt,"168
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0046.txt,"168
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1
