Keywords related to TRIZ and creativity
bài toán : (formulated) problem
giải quyết : solve
phương pháp : method, methodology
thử và sai : trial and error
định hướng : oriented, aimed toward : Người học biết cách định hướng để giải quyết vấn đề của mình
qui luật, quy luật : law / trend of system evolution : quy luật phát triển của hệ thống
sáng tạo : creative, creativity
ích lợi : useful
tính ì, tính ỳ : psychological inertia, system inertia : gộp sự ì tâm lý và sự ì hệ thống
tư duy : thinking
vấn đề : problem, issue
thủ thuật, nguyên tắc : principle

Keywords related to psychology / cognitive / emotions
cần thiết : necessary
tâm lý : psychology, psychological
tích cực : positive
tự tin : self-confident

Keywords related to results
phát triển : develop, development, evolution (of systems)
thay đổi : change, to change

Keywords related to actions
áp dụng, vận dụng, hành động : apply : Người học đã/sẽ áp dụng PPLST vào các hoạt động trong cuộc sống/công việc của mình
giới thiệu : introduce : Người học sẽ giới thiệu về khóa học PPLST với người khác
dạy, truyền đạt, hướng dẫn : teach : Người học sẽ dạy / hướng dẫn lại người khác về PPLST
