Meaning (on row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords in English (on row),,,,Method of Focal Objects,Morphological Analysis Method,Check-listing Method,Brainstorming,Synectics (method of using analogies),Methods of activating creativitive thinking,combine non-TRIZ techniques,,(11) separation principles,(40) basic creativity principles,segmentation,taking out,local quality,asymmetry,merging,universality,nesting,anti-weight,preliminary anti-action,preliminary action,beforehand cushioning,equipotentiality,reversing,spheroidality,dynamics,partial or excessive actions,change to another dimension,mechanical vibration,periodic action,continuity of useful actions,skipping,blessing in disguise,feedback,intermediary,self-service,copying,cheap short-living objects,mechanics substitution,pneumatics and hydraulics,flexible shells and thin films,porous materials,color change,homogeneity,discarding and recovering,parameter changes,phase transitions,thermal expansion,strong oxidants,inert atmosphere,composite materials,combine TRIZ techniques
data_individual/data_giaoduc/gd0021.txt,"cán bộ quản lý giáo dục, Sở giáo dục và đào tạo tỉnh Cà Mau
","145
",,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0030.txt,"cán bộ quản lý giáo dục, Trung học sư phạm mầm non Tp.HCM
","145
",,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0036.txt,"cán bộ quản lý giáo dục, Trường THPT Phan Đăng Lưu, Tp.HCM
","168
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0001.txt,"cán bộ giảng dạy, Đại học y, dược Tp. Hồ Chí Minh
","12
",,,1,1,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0025.txt,"cán bộ quản lý giáo dục, Trường PTTH bán công Nguyễn Thái Bình, Tp.HCM
","145
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0007.txt,"cán bộ quản lý Sở giáo dục và đào tạo tỉnh Bình Dương
","145
",,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0035.txt,"hiệu trưởng Trường mầm non Hiệp Phú, Quận 9, Tp.HCM
","168
",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0052.txt,"trợ giảng ở Đại học
","199
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0013.txt,"cán bộ quản lý giáo dục, Sở giáo dục và đào tạo tỉnh Bình Định
","145
",,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0044.txt,"giảng viên, Trường cán bộ quản lý giáo dục Tp.HCM
","168
",,,,,,,,,,,1,1,,,,1,1,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0070.txt,"tiến sĩ, giảng viên, Trường đại học khoa học xã hội và nhân văn, ĐHQG Tp.HCM
","464
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0011.txt,"cán bộ quản lý giáo dục, Sở giáo dục và đào tạo tỉnh Tiền Giang
","145
",,,,,,,1,1,,,1,1,,,,1,,,,1,1,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0004.txt,"kỹ sư, cán bộ giảng dạy
","45
",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0010.txt,"nghiên cứu viên, Viện nghiên cứu chiến lược và chính sách khoa học và công nghệ, Bộ khoa học, công nghệ và môi trường
","126
",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0021.txt,"Đài truyền hình TP.HCM
","209
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0000.txt,"VII.3.5. THU HOẠCH CỦA CÁC NHÂN VIÊN, CÁN BỘ QUẢN LÝ LÀM VIỆC
","VII.3.5. THU HOẠCH CỦA CÁC NHÂN VIÊN, CÁN BỘ QUẢN LÝ LÀM VIỆC
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0006.txt,"nghiên cứu viên cao cấp, Bộ khoa học, công nghệ và môi trường
","126
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0020.txt,"kỹ sư viễn thông, Trung tâm viễn thông quốc tế khu vực II
","156
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0009.txt,"cán bộ nghiên cứu, Ban nghiên cứu phát triển, Viện nghiên cứu chiến lược và chính sách khoa học, công nghệ, Bộ khoa học, công nghệ và môi trường
","126
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0007.txt,"chuyên viên, Bộ khoa học, công nghệ và môi trường
","126
",,,,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0012.txt,"phó chánh văn phòng, Văn phòng Hội đồng đánh giá trữ lượng khoáng sản, Bộ khoa học, công nghệ và môi trường
","126
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0022.txt,"cử nhân
","244
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0011.txt,"trưởng phòng hợp tác quốc tế, Trung tâm thông tin quốc gia, Bộ khoa học, công nghệ và môi trường
","126
",,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0019.txt,"Sở KH CN&MT tỉnh Bình Dương
","162
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0023.txt,"nghiên cứu viên
","296
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0003.txt,"cán bộ phòng tổ chức, tiền lương huyện Xuân Lộc, Đồng Nai
","60
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0001.txt,"kỹ sư, Phòng kỹ thuật, Nhà máy sửa chữa máy bay A41, Binh chủng phòng không, không quân
","37
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0004.txt,"kiểm sát viên
","95
",,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0005.txt,"cán bộ Trường Nghiệp vụ Quản lý, Bộ khoa học, công nghệ và môi trường
","126
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0014.txt,"Sở KH CN&MT Sóc Trăng
","162
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0017.txt,"Sở KH CN&MT Vĩnh Long
","162
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0013.txt,"tiến sỹ, trưởng phòng xử lý tài liệu, Trung tâm thông tin quốc gia, Bộ khoa học, công nghệ và môi trường
","126
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_nhanuoc/nn0002.txt,"kỹ sư máy bay, Trưởng phòng kỹ thuật, Nhà máy sửa chữa máy bay A41, Binh chủng phòng không, không quân
","37
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0018.txt,"giám đốc, Trung tâm CNTT và tư liệu tỉnh Quảng Nam
","162
",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0016.txt,"Sở KH CN&MT TP.HCM
","162
",,,,,,,1,1,,,1,,,,,1,,,,1,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0008.txt,"nay là Chánh thanh tra Bộ khoa học và công nghệ)
","126
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_nhanuoc/nn0015.txt,"Sở KH CN&MT Quảng Ngãi
","162
",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0019.txt,"sinh viên
","79
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0048.txt,"tự do
","333
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0015.txt,"sinh viên
","68
",,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0005.txt,"kỹ sư hóa
","326
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0023.txt,"sinh viên
","101
",,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1
data_individual/data_lydo/ld0051.txt,"cử nhân
","363
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0045.txt,"cử nhân công nghệ hóa học
","317
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0032.txt,"kỹ sư thiết kế
","150
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0007.txt,"giảng viên piano, Học viện âm nhạc Tp. Hồ Chí Minh
","197
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0004.txt,"cán bộ công ty LG Vina
","217
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0003.txt,"bác sĩ, Bệnh viện điều dưỡng phục hồi chức năng Bưu Điện II
","262
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0017.txt,"kỹ sư kinh tế
","75
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0014.txt,"kỹ sư điện
","35
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0026.txt,"nghiên cứu viên, Viện nghiên cứu chiến lược và chính sách khoa học, công nghệ, Bộ khoa học, công nghệ và môi trường
","126
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0049.txt,"nhân viên ngân hàng
","344
",,,,,,,1,1,,1,1,1,,,,,,,,1,1,1,,,,1,,1,,1,,1,1,,,,,,,,,,1,,,,,,,,,1
data_individual/data_lydo/ld0011.txt,"tốt nghiệp đại học
","19
",,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0040.txt,"kỹ sư xây dựng
","263
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0050.txt,"giáo viên
","351
",,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0038.txt,"sinh viên
","212
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0021.txt,"sinh viên Đại học kinh tế
","100
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0018.txt,"sinh viên Đại học kinh tế
","77
",,,,,,,,,,,1,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0043.txt,"chuyên viên marketing
","300
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0054.txt,"cử nhân
","367
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0037.txt,"giảng viên Đại học an ninh
","204
",,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0022.txt,"sinh viên
","101
",,,,,1,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0031.txt,"chuyên viên bảo hiểm
","150
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0041.txt,"nhân viên Hãng hàng không quốc gia Việt Nam
","281
",,,,,,,,,,,1,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0016.txt,"kỹ sư
","70
",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0036.txt,"bác sỹ, phó khoa ngoại, Bệnh viện đa khoa trung tâm Tiền Giang
","200
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0027.txt,"học sinh
","127
",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0025.txt,"sinh viên
","125
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0061.txt,"giám đốc bán lẻ, Công ty vàng bạc đá quý Phú Nhuận – PNJ
","475
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0044.txt,"kiến trúc sư
","312
",,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0020.txt,"kỹ sư
","96
",,,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0013.txt,"giáo viên
","29
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0006.txt,"doanh nhân
","265
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0059.txt,"thạc sỹ, giảng viên Trường đại học khoa học xã hội và nhân văn, Đại học quốc gia Tp. Hồ Chí Minh
","464
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0056.txt,"nhân viên công ty
","447
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0062.txt,"sinh viên
","481
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0057.txt,"cán bộ huấn luyện công ty
","451
",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0008.txt,"thư ký tổng giám đốc
","63
",,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0060.txt,"chuyên viên huấn luyện, Tập đoàn tài chính Home Credit
","469
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0034.txt,"sinh viên tin học
","192
",,1,1,1,1,1,1,1,,,1,1,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0058.txt,"giảng viên
","452
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0039.txt,"cử nhân luật
","258
",,,,,1,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0053.txt,"kỹ sư công nghệ thông tin
","367
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0028.txt,"quảng cáo
","128
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0000.txt,"VII.3.1. VỀ CÁC LÝ DO THAM GIA LỚP HỌC “PHƯƠNG PHÁP LUẬN SÁNG
","VII.3.1. VỀ CÁC LÝ DO THAM GIA LỚP HỌC “PHƯƠNG PHÁP LUẬN SÁNG
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0009.txt,"cử nhân, trợ lý giám đốc, công ty Samsung Việt Nam
","46
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0046.txt,"cử nhân
","321
",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0024.txt,"sinh viên
","112
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0042.txt,"cử nhân
","300
",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0055.txt,"sinh viên Học viện hành chính quốc gia
","446
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0052.txt,"cử nhân
","363
",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0029.txt,"kế toán, công ty Unilever
","137
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0002.txt,"sinh viên
","200
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0047.txt,"bác sĩ nha khoa, cử nhân quản trị kinh doanh
","333
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0035.txt,"tốt nghiệp đại học
","197
",,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0012.txt,"sinh viên
","20
",,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
data_individual/data_lydo/ld0033.txt,"sinh viên
","150
",,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0010.txt,"giảng viên tâm lý học, Đại học tuyên giáo Hà Nội, học viên lớp cao học quản lý khoa học thuộc Bộ khoa học, công nghệ và môi trường
","13
",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0030.txt,"giám sát viên, công ty Vietnam Air Caterers
","146
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0001.txt,"sinh viên
","335
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0030.txt,"kỹ sư
","462
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0011.txt,"cử nhân luật
","70
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0021.txt,"cử nhân
","304
",,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0009.txt,"kỹ sư nông nghiệp
","36
",,,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0010.txt,"kỹ sư
","42
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0024.txt,"cử nhân kinh tế
","347
",,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0027.txt,"kỹ sư
","384
",,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0015.txt,"kỹ sư
","128
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0003.txt,"bác sỹ
","7
",,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0026.txt,"cử nhân
","377
",,,,,,,,,,,1,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0014.txt,"kỹ sư tin học
","125
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0005.txt,"kỹ sư chế tạo máy
","23
",,,,1,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0007.txt,"bác sỹ
","29
",,,,,,,,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1
data_individual/data_daihoc/dh0025.txt,"cử nhân
","353
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0019.txt,"marketing
","164
",,,,,1,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0004.txt,"kỹ sư kinh tế
","13
",,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0029.txt,"cử nhân
","417
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0020.txt,"kỹ sư điện tử
","276
",,,,,,,1,1,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0016.txt,"tốt nghiệp đại học
","140
",,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0023.txt,"tốt nghiệp đại học
","322
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0001.txt,"kỹ sư cơ khí
","3
",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0017.txt,"thiết kế trên máy tính
","150
",,,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0008.txt,"kỹ sư
","31
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0006.txt,"luật sư
","24
",,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0000.txt,"VII.3.4. THU HOẠCH CỦA NHỮNG NGƯỜI CÓ TRÌNH ĐỘ ĐẠI HỌC
","VII.3.4. THU HOẠCH CỦA NHỮNG NGƯỜI CÓ TRÌNH ĐỘ ĐẠI HỌC
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0012.txt,"kỹ sư
","98
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0013.txt,"nhà báo
","99
",,,,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0002.txt,"cử nhân điêu khắc
","6
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0028.txt,"cử nhân
","410
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_daihoc/dh0018.txt,"họa sĩ
","164
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_daihoc/dh0022.txt,"kỹ sư hóa
","304
",,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0022.txt,"lương y
","375
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0025.txt,"nghề tự do
","386
",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0016.txt,"biên tập viên
","140
",,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
