Meaning (on row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords in English (on row),,,,Method of Focal Objects,Morphological Analysis Method,Check-listing Method,Brainstorming,Synectics (method of using analogies),Methods of activating creativitive thinking,combine non-TRIZ techniques,,(11) separation principles,(40) basic creativity principles,segmentation,taking out,local quality,asymmetry,merging,universality,nesting,anti-weight,preliminary anti-action,preliminary action,beforehand cushioning,equipotentiality,reversing,spheroidality,dynamics,partial or excessive actions,change to another dimension,mechanical vibration,periodic action,continuity of useful actions,skipping,blessing in disguise,feedback,intermediary,self-service,copying,cheap short-living objects,mechanics substitution,pneumatics and hydraulics,flexible shells and thin films,porous materials,color change,homogeneity,discarding and recovering,parameter changes,phase transitions,thermal expansion,strong oxidants,inert atmosphere,composite materials,combine TRIZ techniques
data_individual/data_hssv/hs0009.txt,"sinh viên
","43
",,,,,,,,,,,1,,1,,,1,,,,1,1,1,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1
data_individual/data_hssv/hs0014.txt,"sinh viên ĐH ngành QTKD
","73
",,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0038.txt,"sinh viên
","218
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0021.txt,"sinh viên Đại học Nông Lâm
","127
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0031.txt,"sinh viên
","200
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0024.txt,"sinh viên
","131
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0000.txt,"VII.3.2. THU HOẠCH CỦA CÁC HỌC SINH, SINH VIÊN
","VII.3.2. THU HOẠCH CỦA CÁC HỌC SINH, SINH VIÊN
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0045.txt,"sinh viên
","294
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0042.txt,"sinh viên
","263
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0003.txt,"học sinh 12/12
","59
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0013.txt,"sinh viên ĐH tổng hợp
","65
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0010.txt,"sinh viên ĐH Bách khoa
","45
",,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0002.txt,"học sinh
","58
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0050.txt,"sinh viên
","417
",,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0041.txt,"sinh viên khoa Hóa, Trường đại học khoa học tự nhiên
","263
",,,,,,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0018.txt,"sinh viên
","117
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0032.txt,"sinh viên năm 2, khoa môi trường, Trường đại học khoa học tự nhiên
","209
",,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0044.txt,"sinh viên
","265
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0025.txt,"sinh viên ĐH bách khoa, khoa CNTT
","144
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0049.txt,"sinh viên
","387
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0048.txt,"sinh viên
","353
",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0027.txt,"sinh viên ngành quản trị kinh doanh
","192
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0006.txt,"sinh viên Tin học
","19
",,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0033.txt,"sinh viên y khoa
","209
",,,,,,,,,,,1,1,1,1,,1,,,,,,1,,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,1
data_individual/data_hssv/hs0026.txt,"sinh viên
","192
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0022.txt,"sinh viên
","128
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0029.txt,"sinh viên ngành CNTT
","194
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0043.txt,"sinh viên
","263
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0012.txt,"sinh viên ĐH Kiến trúc
","60
",,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0019.txt,"sinh viên
","125
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0023.txt,"sinh viên Trường đại học khoa học tự nhiên
","131
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0034.txt,"sinh viên
","210
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0052.txt,"sinh viên
","456
",,,,,1,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0011.txt,"sinh viên
","45
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0037.txt,"giảng viên, Trường CB QLGD Tp.HCM
","168
",,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0033.txt,"giảng viên, Trường cán bộ quản lý giáo dục Tp.HCM
","168
",,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0014.txt,"cán bộ quản lý giáo dục, Phòng giáo dục & đào tạo Châu Thành, Tây Ninh
","145
",,,,,1,,,1,,,1,1,,,,,,,,1,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0019.txt,"hiệu trưởng Trường PTTH Giồng Ông Tố, Tp.HCM
","145
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0064.txt,"giảng viên Đại học NTT
","457
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0028.txt,"cán bộ quản lý giáo dục, Sở GD-ĐT Bình Định
","145
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0041.txt,"cán bộ quản lý giáo dục
","168
",,,,,,,,,,,1,1,1,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0048.txt,"hiệu trưởng Trường phổ thông cơ sở, Tp.HCM
","168
",,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0043.txt,"cán bộ quản lý giáo dục
","168
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0046.txt,"cán bộ quản lý giáo dục, Sở giáo dục và đào tạo Tp.HCM
","168
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0018.txt,"hiệu trưởng Trường BTVH Đà Lạt, tỉnh Lâm Đồng
","145
",,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0024.txt,"cán bộ quản lý giáo dục, phòng GDĐT Q11, Tp. HCM
","145
",,,,,,,1,1,,,1,1,,,,,,,,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0023.txt,"hiệu trưởng, Trường THPT chuyên, Tây Ninh
","145
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0054.txt,"giảng viên Trường cao đẳng sư phạm mẫu giáo Trung ương 3
","223
",,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0038.txt,"hiệu trưởng Trường tiểu học Bạch Đằng, Q4, Tp.HCM
","168
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0060.txt,"giảng viên đại học
","410
",,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0032.txt,"giáo viên ngoại ngữ
","150
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0002.txt,"giảng viên triết học, Đại học tổng hợp Hà Nội
","13
",,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0063.txt,"giảng viên Đại học Nguyễn Tất Thành
","457
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0049.txt,"hiệu trưởng Trường mẫu giáo Hoàng Yến, Quận 9, Tp.HCM
","168
",,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0022.txt,"cán bộ quản lý giáo dục, Trường PTTH Nguyễn Du, Tp.HCM
","145
",,,,,,,,,,,1,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0065.txt,"thạc sĩ, giảng viên Trường đại học khoa học xã hội và nhân văn, ĐHQG, Tp.HCM
","464
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0042.txt,"hiệu phó Trường phổ thông trung học, tỉnh Bình Dương
","168
",,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0017.txt,"cán bộ quản lý giáo dục, Phòng GD-ĐT Phú Nhuận, Tp.HCM
","145
",,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0040.txt,"cán bộ quản lý giáo dục, Trường THPT Bình Phú, Quận 6, Tp.HCM
","168
",,1,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0006.txt,"giáo viên phổ thông trung học
","83
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0062.txt,"giảng viên Đại học Nguyễn Tất Thành
","457
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0055.txt,"giáo viên sử
","269
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0029.txt,"cán bộ quản lý giáo dục, Sở GD-ĐT tỉnh Tiền Giang
","145
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0057.txt,"giảng viên đại học chuyên ngành thiết kế cơ khí
","371
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0000.txt,"VII.3.7. THU HOẠCH CỦA CÁC THẦY, CÔ GIÁO, CÁC CÁN BỘ QUẢN LÝ
","VII.3.7. THU HOẠCH CỦA CÁC THẦY, CÔ GIÁO, CÁC CÁN BỘ QUẢN LÝ
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0058.txt,"giảng viên ĐH Hoa Sen
","390
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0068.txt,"thạc sĩ, giảng viên Trường đại học khoa học xã hội và nhân văn, ĐHQG Tp.HCM
","464
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0047.txt,"cán bộ quản lý giáo dục, Trường THCS Khánh Hội A, Quận 4, Tp.HCM
","168
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0010.txt,"cán bộ quản lý giáo dục
","145
",,,,,,,1,1,,,1,1,,1,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0034.txt,"cán bộ quản lý giáo dục, Sở GDĐT TPHCM
","168
",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0031.txt,"cán bộ quản lý giáo dục, Sở GD-ĐT Cà Mau
","145
",,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0008.txt,"cán bộ quản lý, Sở GD-ĐT Tiền Giang
","145
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0053.txt,"giảng viên đại học
","210
",,,,,,,,,,,1,,,,,1,1,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0012.txt,"cán bộ quản lý giáo dục, Sở giáo dục và đào tạo tỉnh Lâm Đồng
","145
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0020.txt,"thanh tra Sở GDĐT Tp.HCM
","145
",,,,,,,1,1,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0026.txt,"cán bộ quản lý giáo dục, Sở giáo dục và đào tạo tỉnh Quảng Nam
","145
",,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0056.txt,"giảng viên
","335
",,,,,,,,,,,1,,,,,1,,,,,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0027.txt,"cán bộ quản lý giáo dục, Sở giáo dục và đào tạo tỉnh Cà Mau
","145
",,,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0003.txt,"giảng viên Trường trung học thể dục thể thao
","20
",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_giaoduc/gd0039.txt,"cán bộ quản lý giáo dục
","168
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_giaoduc/gd0061.txt,"giảng viên Đại học Nguyễn Tất Thành
","457
",,,,,,,,,,,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1
