,Look-up table: applications when a FUNCTION (on row) is applied to an OBJECT (in column).,"Numbers are scientific applications, to be looked up in list_topics.csv.",,,
,divided solid,field,gas,liquid,solid
destroy,"2,32,46,138,177,206,290,301,339,404,455,493,511,512,639,720,772,797,814,815,897,994","19,47,237,245,251,261,356,357,671,692,857","63,64,138,301,396,447,511,639","32,46,63,64,138,206,290,301,363,396,447,511,512,639","2,32,46,59,63,117,138,177,206,278,290,301,339,348,354,382,404,476,481,493,511,512,593,602,639,720,800,843,897,979,982"
detect,"6,8,16,18,19,21,24,31,37,75,88,117,147,160,174,198,200,207,279,281,294,298,301,308,309,351,353,354,358,377,380,395,398,409,426,439,464,508,511,514,523,558,590,607,608,610,625,644,667,699,725,731,735,765,772,774,783,796,797,815,817,821,838,847,905,907,908,926,953,962,966","64,142,180,204,282,294,298,308,351,354,356,357,391,400,438,441,464,471,476,516,523,528,541,553,604,644,667,670,692,747,755,775,796,808,812,831,837,839,897,899,900,905,907,908,915,960,979,1003","6,21,22,64,160,279,281,309,351,358,359,380,409,415,447,454,464,489,511,565,589,607,608,625,667,685,710,735,792,796,813,815,890,905,907,908,925,939,1001","6,21,58,64,117,121,126,128,160,195,212,230,279,281,308,309,351,358,359,380,415,447,454,464,482,487,489,511,526,531,532,537,565,585,589,608,625,667,685,692,731,735,792,796,815,821,838,843,847,890,905,907,908,925,926,939,975","6,16,24,88,117,121,160,174,198,262,279,281,294,298,308,309,351,358,380,395,415,426,439,442,454,464,482,487,489,511,515,516,523,526,532,537,558,565,590,625,664,667,692,731,735,759,780,796,815,817,821,890,905,907,908,926,957,979"
dilute,"31,371,589,604,812","47,261,357,391,404,426,433,471,523,692,753","812,943","307,323,487,531,532,587,814,875,943","78,148,476,532,581,758,788,812,814"
dry,"21,31,64,229,230,344,388,391,431,432,447,608,797,815,861,1001",,"21,36,64,128,229,230,358,388,447,454,591,600,602,605,608,937,1001","21,36,64,146,229,230,307,360,366,388,447,454,591,600,602,605,608","21,36,64,128,146,229,230,307,358,388,391,447,454,582,591,600,602,605,772,815,838,861,1001"
enzyme,,,,,
evaporate,"301,339,391,431,432,511,512",,,"2,229,230,335,360,366,391,431,432,511,512,523,535,590,653,722,815,839,861,951","2,59,278,301,391,511,512,523,800"
expand,"165,294,354,371,467,474,476,553,687,719,783,788,799,812,856,983","9,13,19,42,84,98,169,240,245,259,277,294,317,339,351,391,404,426,438,464,471,511,523,544,569,617,670,671,692,712,720,755,757,831,1003","30,35,217,307,339,344,366,373,467,474,553,651,716,722,771,799,843,887,928,983","31,35,307,339,344,353,360,366,371,373,467,474,553,651,722,799,839,843,875,928,943,983","31,40,59,70,90,109,140,148,151,154,165,189,193,229,248,282,294,310,311,313,329,331,339,340,341,354,371,374,382,397,400,408,454,476,510,553,562,573,581,593,602,605,616,633,641,687,688,719,758,770,775,790,799,810,812,830,835,840,856,928,929,982,983"
extract,"2,21,22,24,31,117,146,147,153,160,200,213,294,308,344,358,380,395,409,426,431,493,508,532,608,630,651,722,783,817,863,880,1001","180,245,356,433,438,441,464,541,655,667,692,712,831,923,976,994","21,22,138,148,309,358,380,388,447,508,581,582,600,608,677,709,758,792,829,880,1001","21,22,138,146,148,213,254,308,309,358,360,380,388,398,447,454,482,487,508,531,532,581,582,600,608,653,758,792,817,829,838,861,863,880,1001","138,189,213,308,309,311,358,380,482,487,508,532,600,817,863"
freeze,"1,24","667,692,908","154,206,371,402,431,432,433,535,549,688,717,809,846,902","101,189,206,250,311,335,366,387,431,432,433,535,549,563,591,717,775,809,846,902,969","153,553,799,830"
heat,"24,31,177,301,339,391,399,415,431,432,447,508,511,512,523,535,590,731,775,815,846,847,902,911,917,1001",,"31,32,177,301,359,391,399,402,415,431,432,433,447,455,508,511,523,528,535,590,713,716,722,731,758,775,800,815,846,847,902,911,917,940,1001","24,31,32,177,301,359,391,399,402,415,431,432,447,455,508,511,523,528,535,590,713,731,758,775,800,815,843,846,847,902,911,917,1001","24,32,177,196,301,359,374,391,399,402,415,431,432,447,455,508,511,523,528,535,590,633,713,731,758,775,800,815,846,857,902,911,1001"
hold,"14,18,21,22,24,70,71,91,117,146,147,148,161,176,193,200,212,282,294,308,310,313,329,331,353,354,358,371,387,398,409,410,426,446,476,484,510,563,581,591,604,608,610,630,633,687,688,758,790,791,810,812,814,830,838,889,969,985,1001","9,64,84,277,308,348,370,448,464,471,571,667,692,741,817,819,892,928,1001","21,22,55,148,207,282,371,409,484,581,582,589,600,608,630,685,792,838,875,883,943,1001","21,22,31,35,36,55,117,128,148,162,174,193,207,229,250,282,294,308,323,353,358,371,373,409,410,426,454,484,508,531,563,581,582,587,589,591,600,602,604,605,608,630,633,685,758,792,814,817,838,943,969,972,983,1001","14,18,24,73,109,149,161,170,212,248,282,287,294,308,340,354,358,371,394,405,409,424,426,442,446,476,484,505,513,525,543,548,551,553,562,563,573,580,589,600,609,604,630,633,684,772,783,790,791,799,810,812,814,816,817,830,836,838,883,884,889,918,957,969,982,985"
join,"1,24,91,153,161,165,176,189,200,212,235,294,308,310,311,313,329,331,340,353,354,358,371,387,398,399,402,409,426,446,484,563,591,604,630,677,687,688,790,791,799,810,816,830,889,969,985","426,438,523,692,814,831","55,371,396,484,875","55,91,250,294,310,323,353,371,396,398,484,563,587,814,875,969","24,51,91,109,149,161,170,176,212,248,282,294,301,308,310,311,313,329,331,340,354,358,366,371,394,398,399,405,426,442,446,447,476,483,484,505,513,525,548,553,563,573,591,600,609,604,633,677,684,687,688,772,783,790,791,799,810,814,816,817,830,883,884,889,957,969,985"
melt,"301,339,391,431,432,511,512,523,590,688,815",,,,"1,278,301,391,431,432,476,511,512,523,535,590,800,815"
mix,"31,35,62,116,117,122,262,294,297,309,344,359,373,404,467,508,627,722,783,797,812,847,928,940,994","19,438,692","117,138,344,371,467,588,847,940,943,960","31,62,91,117,138,262,297,323,353,371,467,487,588,627,783,797,847,875,928,940,943","62,91,117,138,161,176,371,467,627,788,797,847"
move,"14,15,18,19,31,35,37,62,76,90,116,117,122,146,147,153,193,195,200,213,262,282,288,294,297,298,308,309,310,339,344,353,354,359,366,373,380,385,395,398,404,430,451,467,469,474,508,529,593,630,651,716,720,722,771,772,783,797,799,812,814,817,833,839,843,846,847,856,880,881,887,917,923,939,940,975,988,989,994","308,529,612,629,655,692,747,814,817,819,831,977,978","30,31,35,116,160,195,217,282,298,309,315,344,359,366,373,402,430,432,467,474,529,588,593,630,651,716,721,722,771,783,829,837,843,846,847,880,887,917,937,939,940,943,960,971,976","18,31,62,116,128,160,195,200,213,229,230,254,282,294,297,298,307,308,309,313,315,344,353,359,366,371,373,385,388,398,403,430,432,451,454,467,469,474,482,487,531,532,586,588,630,651,653,721,722,771,773,783,797,814,817,819,829,837,838,839,843,847,861,880,887,911,917,939,940,943,976","14,18,30,35,62,70,76,90,98,104,116,117,122,153,169,189,199,200,204,213,262,282,288,294,298,308,309,310,311,313,315,332,344,359,366,370,373,385,398,400,404,429,430,439,455,467,469,474,476,482,487,525,529,532,543,548,551,553,562,593,610,627,630,633,647,649,688,713,716,719,720,722,729,730,737,741,746,771,772,783,797,799,812,814,817,828,833,836,840,843,844,846,856,877,881,912,923,928,929,939,946,974,975,976,982,988,989,994,995,996"
orient,"18,24,116,117,147,161,174,176,193,212,262,282,294,297,308,310,353,354,398,404,426,563,604,630,768,783,791,799,810,814,889,953,988,994","51,60,308,391,426,523,593,612,629,664,670,692,712,817,831,918,977,978,1003","35,282,373,588,953","282,294,308,353,373,398,588,817,953","18,35,51,73,75,90,104,137,161,174,199,262,282,287,294,308,329,366,373,374,400,404,410,424,426,429,439,476,551,553,562,610,633,641,647,649,729,730,741,746,759,768,770,783,791,799,817,836,837,844,877,884,889,929,946,988,989,995,996"
produce,"2,31,76,138,153,154,165,176,177,189,262,278,339,358,404,493,506,589,593,687,688,719,772,783,788,812,839,897,979,982,988","9,19,37,42,63,84,88,131,277,290,294,298,299,308,348,363,396,426,438,448,511,528,543,544,551,569,571,585,632,657,720,747,815,817,892,899,907,915,918,936,971","2,32,46,59,138,177,290,299,339,360,366,380,388,396,431,432,455,512,590,843,861","32,46,138,254,363,380,396,402,431,432,549,590,814","1,138,140,151,153,154,165,176,189,235,310,311,313,329,331,354,387,431,446,549,563,633,688,719,790,791,810,814,952"
protect,"21,24,71,165,193,236,313,345,371,415,433,476,510,581,604,608,633,677,697,705,750,753,758,812,838,895,969,1001,1002","19,84,277,356,571,667,750,819,892,1001","21,36,148,207,353,358,371,409,448,476,581,589,605,608,705,750,758,812,838,895,943","21,36,60,148,323,353,358,371,409,448,455,476,531,581,589,600,605,608,705,750,758,838,895,943,969","2,36,53,60,68,91,120,132,133,135,137,140,154,165,176,229,230,236,247,250,261,311,313,331,345,353,358,362,371,382,397,409,415,433,447,455,476,483,510,553,580,589,600,604,605,619,633,641,645,677,688,697,704,705,750,753,799,808,814,895,918,938,952,969,979,1002"
purify,"21,22,24,32,46,146,153,160,213,229,308,309,358,388,395,409,426,815,863","356,357,438,541","21,22,148,160,213,309,358,380,409,508,581,582,600,709,758,792,838,1001","21,22,148,160,189,213,254,307,308,309,358,360,380,409,454,482,487,508,531,532,581,582,600,653,758,792,829,838,863,951,1001","153,213,308,309,358,380,395,409,482,532,600,863,951"
remove,"2,21,22,24,31,32,46,62,117,138,146,147,153,174,177,200,213,262,290,294,301,308,309,339,344,354,358,366,380,385,395,409,426,455,467,474,493,508,511,512,532,593,608,610,630,639,722,783,800,812,817,875,880,923,953,994,1001","19,47,251,261,345,356,357,438,471,541,712,831,857","21,22,138,148,309,358,388,409,447,455,508,581,582,588,600,608,677,709,721,722,758,792,829,880,943,953,1001","21,22,32,46,117,128,138,146,148,206,213,229,230,254,290,308,309,358,360,388,391,403,409,447,454,455,482,487,508,512,531,532,581,582,588,591,600,608,639,721,722,758,792,817,829,838,861,880,943,953,1001","1,2,32,46,59,117,138,146,177,206,213,278,290,301,308,309,358,395,409,455,481,482,487,493,508,511,512,532,600,639,722,760,812,817,875,979"
resist,"165,193,234,236,294,371,508,879,953","2,47,120,236,250,251,282,294,345,356,357,397,410,476,477,563,573,604,641,753,768,812,817,831,836,840,895,918,995,1002","236,353,476,697,888,918,953","236,353,476,697,817,888,918,953","234,236,247,294,308,353,476,633,817,840,879,918"
rotate,"31,35,62,76,90,116,117,122,195,213,262,282,294,297,353,354,359,373,404,410,467,630,651,722,768,771,783,812,847,856,881,928,939,940,975,988,994","2,47,120,236,250,251,282,294,345,356,357,397,410,476,477,563,573,604,641,753,768,812,817,831,836,840,895,918,995,1002","30,147,282,315,359,630,771,783,847,940,972","62,147,262,282,294,297,315,359,398,630,768,771,783,797,817,847,940,972","18,30,62,73,76,77,90,104,122,137,145,199,204,262,282,294,297,308,315,328,332,344,366,370,374,400,404,410,424,429,430,439,467,553,562,630,641,647,649,715,716,729,730,741,746,760,768,770,771,772,783,789,799,817,836,844,856,877,887,912,928,929,939,946,974,975,976,988,996"
separate,"15,18,19,22,24,31,35,36,37,46,91,117,146,147,153,160,174,176,177,193,200,213,294,308,309,339,344,354,358,366,380,385,395,398,409,426,467,493,508,529,532,589,607,608,610,630,783,788,797,799,817,838,863,875,897,951,953,979,982,994,1001","237,245,251,308,356,357,391,438,471,523,541,670,671,692,712,831,1003","22,55,147,148,160,309,358,371,380,388,447,484,489,581,582,600,608,758,792,829,880,943,951,953,1001","22,55,117,126,128,146,147,148,160,189,200,213,229,230,254,307,308,309,323,353,358,371,380,388,398,447,454,482,484,487,489,531,532,581,582,587,600,608,653,758,792,797,817,829,861,863,880,881,943,951,953,983,1001","18,51,55,58,74,90,98,117,146,147,153,174,189,200,213,229,230,287,308,309,358,380,395,481,482,484,489,508,529,532,543,551,600,641,783,788,797,817,863,881,884,897,979,982,983,995"
vibrate,"15,19,31,35,37,259,262,282,294,298,353,354,373,529,783,797,833,902,928,929,940,960,988,989,994","423,438,655,759,817,819,890","19,282,298,344,402,716,783,847,890,902,940,960","19,31,42,282,294,298,344,353,409,467,627,783,797,817,819,833,847,902,940,960","19,42,73,74,122,259,262,282,294,298,332,344,359,404,529,627,649,716,746,760,783,797,817,833,840,844,877,902,928,929,938,946,960,974,989"
